Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
14,0.3180972,0.175797,0.3441599,0.18883855,0.1209108,0.04673045,0.0901391,0.32105265,3.4e-5,0.1223966,0.24423135,0.334431756,0.29497635,0.1564425,0.29643665,0.01002915,0.1857471,0.0271065,0.14021175,0.3980142,0.30984795,0.0131971,0.3478438,0.25677565,0.1497853,3.5955e-4,0.0497947,0.00569925,0.298990503,0.24423135,0.5559923076923077,0.0010160202360876898,0,0.15630229357798164,0.011069458128078816,0.01200240963855422,0,0.3517509633911368,0.2805579399141631,0.01426418772563177,0
15,0.21388125,0.15202165,0.2137461,0.09050715,0.06284815,0.03070625,0.0492881,0.3089682,0,0.0960126,0.15522785,0.236892981,0.1840505,0.16664845,0.21167805,0.0278817,0.1322124,0.00498865,0.0650488,0.3931777,0.17558365,0.0023953,0.25436165,0.137632,0.12633975,0,0.00798915,0,0.189876485,0.15522785,0.458279381443299,1.3086003372681282e-4,0,0.11411758409785934,1.9704433497536944e-4,0,0,0.460009633911368,0.10092231759656652,0.04181162454873647,0
16,0.07494535,0.06463485,0.04737985,0.0270113,0.0115396,0.0099008,0.00655945,0.23931495,0,0.05608045,0.0416432,0.082267144,0.03991175,0.0950317,0.09853285,0.02528495,0.05035315,0,0.00421175,0.30423455,0.02481065,0,0.09485235,0.0195908,0.07002725,0,0,0,0.047829953,0.0416432,0.3255409992069786,0,0,0.05886009174311926,0,0,0,0.5309784200385357,0.007264377682403433,0.07987509025270757,0
17,3.91e-4,0.0036125,0,4.2075e-4,0,1.785e-5,0,0.131172,0,0.0153391,0,6.12e-5,0,0.02512515,0.0091103,0.0023494,4.3945e-4,0,0,0.179843,0,0,8.16e-5,0,0.0117334,0,0,0,8.16e-6,0,0.18604797779540047,0,0,0.022989296636085628,0,0,0,0.5563514450867052,0,0.11536072202166066,0
18,0,0,0,0,0,0,0,0.02242555,0,2.55e-6,0,0,0,0,0,0,0,0,0,0.05230815,0,0,0,0,0,0,0,0,0,0,0.08530333068992862,0,0,0.0013230886850152906,0,0,0,0.5492308285163776,0,0.1378251263537906,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030311022997620937,0,0,0,0,0,0,0.5140806358381502,0,0.1508717689530686,4.3611111111111113e-4
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007063521015067407,0,0,0,0,0,0,0.4315167630057804,0,0.13641472924187728,0.011084362139917694
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3256670520231213,0,0.0974724187725632,0.05566748971193416
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1991771676300578,0,0.05880007220216606,0.15151656378600825
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004461045531197303,0,0,0,0,0.0010837349397590365,0.09208179190751443,0,0.033222527075812275,0.28113580246913583
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031471669477234405,0,0,0,0,0.05833433734939758,0.02873121387283237,0,0.01675371841155235,0.4116343621399177
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09462849915682968,0.010057227722772278,0,0,0,0.1852120481927711,0.004158092485549133,0,0.006118339350180506,0.5188225308641976
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1923320404721754,0.08674693069306931,0,0,0,0.309732530120482,6.233140655105973e-5,0,0.001043971119133574,0.5917238683127573
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3059190556492412,0.2291281188118812,0,0,0.027215662650602407,0.4065060240963855,0,0,0,0.6198264403292181
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4274385408406027e-4,0.3920192242833052,0.39576,0,0.0011980295566502465,0.1814771084337349,0.4502698795180723,0,0.004952789699570815,0,0.6082923868312756
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008581998413957176,0.4614224283305227,0.5152504950495049,0,0.08718768472906405,0.366632530120482,0.4385493975903616,0,0.07656437768240344,0,0.5538680041152263
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507569389373513,0.4833922428330523,0.5652398019801981,0,0.2001487684729064,0.5128548192771084,0.39109638554216863,0,0.23451072961373387,0,0.4588494855967079
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14267486122125295,0.4659740303541315,0.5549956435643565,6.238532110091744e-4,0.3055753694581281,0.6031277108433735,0.30502831325301205,0,0.4205909871244635,0,0.33352098765432103
32,0,0,0.0392819,0,0,0,0,0,0,0,0.0465137,0.01072445,5.61e-5,0,0.003944,0,0,0,5.78e-5,0,0.04018545,0,0,1.462e-4,0,0,0,0,0.035691613,0.0465137,0.26177755749405235,0.4088163575042159,0.4798580198019802,0.0064525993883792045,0.3895408866995074,0.6513204819277109,0.218543373493976,0,0.5655888412017167,0,0.2022934156378601
33,0.0069717,0,0.1208292,0.00870995,0.0129931,0.0025653,0,0.00127245,0,0.0036312,0.1447652,0.04095385,0.0232543,0,0.0433432,0,0,0,0.0078863,0,0.14516215,0,0.0103394,0.02468655,0,1.36e-5,0.0010098,0.001054,0.114471823,0.1447652,0.3871881046788264,0.3131568296795953,0.3463245544554455,0.0264145259938838,0.41894532019704434,0.6400150602409639,0.07941686746987953,0,0.65444678111588,0,0.10242037037037038
34,0.0346579,0.0038743,0.211616,0.0806752,0.0676787,0.0338147,0.02940575,0.05867125,6.9105e-4,0.0371671,0.25357115,0.085942119,0.0677586,0,0.10300045,0.0068221,0.0373575,5.117e-4,0.0283815,0.0293301,0.2452998,0.0017357,0.0370583,0.06692475,2.3715e-4,0.00692325,0.00954805,0.0140352,0.203597383,0.25357115,0.5027815226011102,0.2023735244519393,0.1844540594059406,0.06564189602446484,0.3879147783251232,0.578455421686747,0.007766265060240965,9.967244701348749e-4,0.687501287553648,0,0.03903189300411523
35,0.0808724,0.0225267,0.28632675,0.1712427,0.13909145,0.081634,0.12015005,0.1871309,0.00505835,0.09960215,0.33000485,0.126365463,0.11587795,0.0034714,0.15741065,0.0278307,0.10136845,0.0191114,0.05147175,0.1368755,0.31335165,0.0183515,0.06576535,0.1034127,0.00438005,0.01685975,0.02149565,0.02797775,0.272180257,0.33000485,0.5837999206978588,0.09730101180438448,0.06377663366336633,0.11478669724770645,0.3091221674876848,0.4720367469879518,0,0.02479836223506744,0.668261373390558,0,0.011529423868312755
36,0.14447535,0.04129215,0.33105885,0.27206885,0.2112131,0.1314117,0.1876545,0.32263705,0.00722585,0.1677305,0.36382975,0.14654765,0.15946,0.0245004,0.1909695,0.04526675,0.16069675,0.0373541,0.0711127,0.31300485,0.3591012,0.0367013,0.0795821,0.11877645,0.0149719,0.0216104,0.03510415,0.03375775,0.309449102,0.36382975,0.6242936558287074,0.03636913996627319,0.01310970297029703,0.1428165137614679,0.18221034482758625,0.3163030120481927,0,0.1036223506743738,0.5927231759656653,0,0.0016890946502057616
37,0.1956768,0.0598672,0.33722305,0.3434136,0.24424155,0.15505445,0.1985702,0.3881406,0.0044455,0.21478735,0.3479985,0.147038844,0.17343315,0.05345055,0.199325,0.0519656,0.20162255,0.03268165,0.0737664,0.4297804,0.348109,0.04052375,0.0818482,0.10947745,0.026418,0.0175083,0.03507185,0.02650045,0.305802148,0.3479985,0.6126072957969865,0.009841989881956156,0,0.14704633027522937,0.05218669950738917,0.13717951807228915,0,0.2139625240847784,0.4601437768240344,0.002124837545126354,3.01440329218107e-5
